league_id,league_espn,league_odds,country
1,AFC Asian Cup,,Asia
2,AFC Asian Cup Qualifiers,,Asia
3,AFC Champions League Elite,,Asia
4,AFC Champions League Two,,Asia
5,Africa Cup of Nations,,Africa
6,Africa Cup of Nations Qualifying,,Africa
7,African Nations Championship,,Africa
8,African Nations Championship Qualifying,,Africa
9,Amistoso,,World
10,Amistosos internacionales,,World
11,Arabian Gulf Cup,,Asia
12,Argentine Copa de la Liga Profesional,,Argentina
289,Swedish Allsvenskan,Allsvenskan - Sweden,Sweden
14,Argentine Nacional B,,Argentina
15,Argentine Primera B,,Argentina
16,Argentine Primera C,,Argentina
17,Argentine Primera D,,Argentina
18,Argentine Supercopa,,Argentina
19,Argentine Supercopa Internacional,,Argentina
20,Argentine Trofeo de Campeones,,Argentina
21,Arnold Clark Cup,,World
22,ASEAN Championship,,Asia
23,Australian A-League Men,,Australia
24,Australian A-League Women,,Australia
25,Austrian Bundesliga,Austrian Football Bundesliga,Austria
290,Swedish Allsvenskan Promotion/Relegation Playoffs,,Sweden
26,Belgian Pro League,Belgium First Div,Belgium
28,Bolivian Liga Profesional,,Bolivia
29,Bolivian Liga Profesional Promotion/Relegation Playoffs,,Bolivia
30,Brazilian Campeonato Carioca,,Brazil
31,Brazilian Campeonato Gaucho,,Brazil
32,Brazilian Campeonato Mineiro,,Brazil
33,Brazilian Campeonato Paulista,,Brazil
197,Liga Profesional de Bélgica,,Belgium
34,Brazilian Serie A,Brazil Série A,Brazil
36,Brazilian Serie C,,Brazil
37,Brazilian Supercopa Rei,,Brazil
38,Bundesliga 2 de Alemania,,Germany
39,CAF Champions League,,Africa
40,CAF Confederation Cup,,Africa
41,Campeón de Campeones MX,,Mexico
42,Campeonato Brasileño de Serie A,,Brazil
43,Campeonato Carioca,,Brazil
44,Campeonato de fútbol ASEAN,,Asia
45,Campeonato europeo sub-19,,Europe
46,Campeonato Europeo Sub-21,,Europe
47,Campeonato Gaúcho,,Brazil
48,Campeonato Mundial de Clubes de la FIFA,,World
49,Campeonato Paulista,,Brazil
50,Campeonato Sub 20 Brasil,,Brazil
51,Campeonato Uruguayo,,Uruguay
52,Campeones Cup,,Concacaf
53,Champions League de la AFC,,Asia
54,Championship de Inglaterra,,England
35,Brazilian Serie B,Brazil Série B,Brazil
56,Chilean Supercopa,,Chile
57,Chinese Super League,,China
58,Club Friendly,,World
59,Colombian Primera A,,Colombia
60,Colombian Primera B,,Colombia
61,Colombian Superliga,,Colombia
62,Concacaf Central American Cup,,America
63,Concacaf Champions Cup,,America
64,Concacaf Gold Cup,,America
65,Concacaf Gold Cup Qualifying,,America
66,CONCACAF Liga Campeones,,Concacaf
67,Concacaf Nations League,,Concacaf
68,Concacaf W Champions Cup,,America
69,Concacaf W Championship,,Concacaf
70,Concacaf W Gold Cup,,Concacaf
71,CONMEBOL Libertadores,Copa Libertadores,Conmebol
72,CONMEBOL Pre-Olympic Tournament,,America
73,CONMEBOL Recopa,,America
74,CONMEBOL Recopa Sudamericana,,Conmebol
75,CONMEBOL Sudamericana,Copa Sudamericana,Conmebol
76,CONMEBOL-UEFA Club Challenge,,America
77,CONMEBOL-UEFA U20 Intercontinental Cup,,America
78,CONMEBOL-UEFA Women's Cup of Champions,,America
79,Copa Africana de Naciones,,Africa
80,Copa América,,America
81,Copa América Femenina,,America
82,Copa Argentina,,Argentina
83,Copa Bolivia,,Bolivia
84,Copa Chile,,Chile
85,Copa Colombia,,Colombia
86,Copa de Alemania,,Germany
87,Copa de Francia,,France
88,Copa de Holanda,,Netherlands
89,Copa de la Liga de Inglaterra,,England
90,Copa de Naciones de Asia,,Asia
91,Copa del Rey,,Spain
92,Copa do Brasil,,Brazil
93,Copa Do Brazil,,Brazil
94,Copa do Nordeste,,Brazil
95,Copa FA Inglesa,,England
96,Copa Mundial Femenina de la FIFA,,World
97,Copa Mundial Sub-17,,World
98,Copa Mundial Sub-20,,World
99,Copa Oro,,Concacaf
100,Coppa Italia,,Italy
101,COSAFA Cup,,Africa
102,Costa Rican Primera Division,,Costa Rica
103,Coupe de France,,France
104,Danish Superliga,Denmark Superliga,Denmark
105,DFB Ligapokal de Alemania,,Germany
106,División 1 de Escocia,,Scotland
107,Dutch Eredivisie,Dutch Eredivisie,Netherlands
108,Dutch Eredivisie Cup,,Netherlands
109,Dutch Eredivisie Promotion/Relegation Playoffs,,Netherlands
110,Dutch Johan Cruyff Shield,,Netherlands
111,Dutch Keuken Kampioen Divisie,,Netherlands
112,Dutch KNVB Beker,,Netherlands
113,Dutch KNVB Beker Vrouwen,,Netherlands
114,Dutch Tweede Divisie,,Netherlands
115,Dutch Tweede Divisie Promotion/Relegation Playoffs,,Netherlands
116,Dutch Vrouwen Eredivisie,,Netherlands
117,Ecuadorian Supercopa,,Ecuador
118,Eerste Divisie de Holanda,,Netherlands
119,Eliminatorias CONCACAF,,Concacaf
120,Eliminatorias CONMEBOL,,Conmebol
121,Eliminatorias de África,,Africa
122,Eliminatorias de Asia,,Asia
123,Eliminatorias Eurocopa,,Europe
124,Emirates Cup,,United Arab Emirates
125,English Carabao Cup,,England
126,English EFL Trophy,,England
127,English FA Community Shield,,England
128,English FA Cup,,England
129,English League Championship,Championship,England
130,English League One,League 1,England
131,English League Two,League 2,England
132,English National League,,England
264,Serie B Brasil,,Brazil
134,English Women's FA Cup,,England
135,English Women's Super League,,England
136,Eredivisie de Holanda,,Netherlands
137,Eurocopa,,Europe
138,FIFA Club World Cup,,World
139,FIFA Intercontinental Cup,,World
140,FIFA Under-17 Women's World Cup,,World
141,FIFA Under-17 World Cup,,World
142,FIFA Under-20 World Cup,,World
143,FIFA Women's World Cup,,World
144,FIFA Women's World Cup Qualifying - Playoff Tournament,,World
145,FIFA World Cup Qualifying - AFC,,Asia
146,FIFA World Cup Qualifying - CAF,,Africa
147,FIFA World Cup Qualifying - Concacaf,,America
148,FIFA World Cup Qualifying - CONMEBOL,FIFA World Cup Qualifiers - South America,America
149,FIFA World Cup Qualifying - OFC,,Oceania
150,FIFA World Cup Qualifying - UEFA,FIFA World Cup Qualifiers - Europe,Europe
158,German Bundesliga,Bundesliga - Germany,Germany
152,French Ligue 1 Promotion/Relegation Playoffs,,France
153,French Ligue 2,,France
154,French Première Ligue,,France
155,French Tournoi de France,,France
156,French Trophee des Champions,,France
